Result,Final Status Code,Original Relative URL,Full URL Checked,Final Destination URL,Redirect Chain
❌,404,/forms/Application_for_Waiver_of_Filing_Fee.pdf,https://dev-web.ustaxcourt.gov/forms/Application_for_Waiver_of_Filing_Fee.pdf,https://dev-web.ustaxcourt.gov/forms/Application_for_Waiver_of_Filing_Fee.pdf,No redirects
❌,404,/InOpHistoric/summaholdingsmemo.kerrigan.TCM.WPD.pdf,https://dev-web.ustaxcourt.gov/InOpHistoric/summaholdingsmemo.kerrigan.TCM.WPD.pdf,https://dev-web.ustaxcourt.gov/InOpHistoric/summaholdingsmemo.kerrigan.TCM.WPD.pdf,No redirects
❌,404,/InOpHistoric/broz.TC.WPD.pdf,https://dev-web.ustaxcourt.gov/InOpHistoric/broz.TC.WPD.pdf,https://dev-web.ustaxcourt.gov/InOpHistoric/broz.TC.WPD.pdf,No redirects
✅,200,/resources/ropp/Rule-56.pdf,https://dev-web.ustaxcourt.gov/resources/ropp/Rule-56.pdf,https://dev-web.ustaxcourt.gov/files/documents/rule-56.pdf,https://dev-web.ustaxcourt.gov/resources/ropp/Rule-56.pdf (301) -> https://dev-web.ustaxcourt.gov/files/documents/rule-56.pdf (200)
❌,404,/resources/ropp/Rule-24.pdf,https://dev-web.ustaxcourt.gov/resources/ropp/Rule-24.pdf,https://dev-web.ustaxcourt.gov/resources/ropp/Rule-24.pdf,No redirects
❌,404,/InOpHistoric/pinnmemo.TCM.WPD.pdf,https://dev-web.ustaxcourt.gov/InOpHistoric/pinnmemo.TCM.WPD.pdf,https://dev-web.ustaxcourt.gov/InOpHistoric/pinnmemo.TCM.WPD.pdf,No redirects
❌,404,/rules/Appendix_I.pdf,https://dev-web.ustaxcourt.gov/rules/Appendix_I.pdf,https://dev-web.ustaxcourt.gov/rules/Appendix_I.pdf,No redirects
❌,404,/opinions/2017/TCMemo_2017-147_nec.pdf,https://dev-web.ustaxcourt.gov/opinions/2017/TCMemo_2017-147_nec.pdf,https://dev-web.ustaxcourt.gov/opinions/2017/TCMemo_2017-147_nec.pdf,No redirects
❌,404,/forms/Petition_Simplified_Form_2.pdf,https://dev-web.ustaxcourt.gov/forms/Petition_Simplified_Form_2.pdf,https://dev-web.ustaxcourt.gov/forms/Petition_Simplified_Form_2.pdf,No redirects
❌,404,/opinions/2017/TCSummary_2017-85.pdf,https://dev-web.ustaxcourt.gov/opinions/2017/TCSummary_2017-85.pdf,https://dev-web.ustaxcourt.gov/opinions/2017/TCSummary_2017-85.pdf,No redirects
✅,200,/resources/ropp/Rule-23_Amended_03202023.pdf,https://dev-web.ustaxcourt.gov/resources/ropp/Rule-23_Amended_03202023.pdf,https://dev-web.ustaxcourt.gov/files/documents/rule-23.pdf,https://dev-web.ustaxcourt.gov/resources/ropp/Rule-23_Amended_03202023.pdf (301) -> https://dev-web.ustaxcourt.gov/files/documents/rule-23.pdf (200)
❌,404,/resources/rules/Notice_071519.pdf,https://dev-web.ustaxcourt.gov/resources/rules/Notice_071519.pdf,https://dev-web.ustaxcourt.gov/resources/rules/Notice_071519.pdf,No redirects
❌,404,/InOpHistoric/BobrowMemo.Nega.TCM.WPD.pdf,https://dev-web.ustaxcourt.gov/InOpHistoric/BobrowMemo.Nega.TCM.WPD.pdf,https://dev-web.ustaxcourt.gov/InOpHistoric/BobrowMemo.Nega.TCM.WPD.pdf,No redirects
❌,404,/forms/Petition_Kit.pdf,https://dev-web.ustaxcourt.gov/forms/Petition_Kit.pdf,https://dev-web.ustaxcourt.gov/forms/Petition_Kit.pdf,No redirects
❌,404,/book/Dubroff_Hellwig.pdf,https://dev-web.ustaxcourt.gov/book/Dubroff_Hellwig.pdf,https://dev-web.ustaxcourt.gov/book/Dubroff_Hellwig.pdf,No redirects
❌,404,/resources/opinions/2021/157_TC_No_4/157_TC_4.pdf,https://dev-web.ustaxcourt.gov/resources/opinions/2021/157_TC_No_4/157_TC_4.pdf,https://dev-web.ustaxcourt.gov/resources/opinions/2021/157_TC_No_4/157_TC_4.pdf,No redirects
❌,404,/InOpHistoric/chesleymemo.holmes.TCM.WPD.pdf,https://dev-web.ustaxcourt.gov/InOpHistoric/chesleymemo.holmes.TCM.WPD.pdf,https://dev-web.ustaxcourt.gov/InOpHistoric/chesleymemo.holmes.TCM.WPD.pdf,No redirects
❌,404,/rules/Title_XXVI.pdf,https://dev-web.ustaxcourt.gov/rules/Title_XXVI.pdf,https://dev-web.ustaxcourt.gov/rules/Title_XXVI.pdf,No redirects
